username,payroll_id,fname,lname,number,group,local_date,local_day,local_start_time,local_end_time,tz,hours,jobcode_1,jobcode_2,jobcode_3,jobcode_4,billing release,ce release,cp release,digital releases,elm release,general release version,integration framework,irm releases,policy release,rc releases,rpa release,webrisk release,location,approved_status,has_flags,flag_types
AB.CD@testing.com,,AB,CD,0,,1/1/2021,Fri,,,,8,Holiday,,,,,,,,,,,,,,,,TSheets web,,,
AB.CD@testing.com,,AB,CD,0,,1/4/2021,Mon,,,,8.5,Development,IRM,Maintenance & Other Services,Maintenance,,,,,,,,,,,,,TSheets web,,,
AB.CD@testing.com,,AB,CD,0,,1/5/2021,Tue,,,,8.5,Development,IRM,Maintenance & Other Services,Maintenance,,,,,,,,,,,,,TSheets web,,,
AB.CD@testing.com,,AB,CD,0,,1/6/2021,Wed,,,,8.5,Development,IRM,Maintenance & Other Services,Maintenance,,,,,,,,,,,,,TSheets web,,,
AB.CD@testing.com,,AB,CD,0,,1/7/2021,Thu,,,,8.5,Development,IRM,Maintenance & Other Services,Maintenance,,,,,,,,,,,,,TSheets web,,,
AB.CD@testing.com,,AB,CD,0,,1/8/2021,Fri,,,,8.5,Development,IRM,Maintenance & Other Services,Maintenance,,,,,,,,,,,,,TSheets web,,,
AB.CD@testing.com,,AB,CD,0,,1/11/2021,Mon,,,,8.5,Development,IRM,Maintenance & Other Services,Maintenance,,,,,,,,,,,,,TSheets web,,,
AB.CD@testing.com,,AB,CD,0,,1/18/2021,Mon,,,,8,Holiday,,,,,,,,,,,,,,,,TSheets web,,,
AB.CD@testing.com,,AB,CD,0,,1/19/2021,Tue,,,,8.5,Development,IRM,Maintenance & Other Services,Maintenance,,,,,,,,,,,,,TSheets web,,,
AB.CD@testing.com,,AB,CD,0,,1/20/2021,Wed,,,,8.5,Development,IRM,Maintenance & Other Services,Maintenance,,,,,,,,,,,,,TSheets web,,,
AB.CD@testing.com,,AB,CD,0,,1/21/2021,Thu,,,,8.5,Development,IRM,Maintenance & Other Services,Maintenance,,,,,,,,,,,,,TSheets web,,,
AB.CD@testing.com,,AB,CD,0,,1/22/2021,Fri,,,,8.5,Development,IRM,Maintenance & Other Services,Maintenance,,,,,,,,,,,,,TSheets web,,,
AB.CD@testing.com,,AB,CD,0,,1/25/2021,Mon,,,,8.5,Development,IRM,Maintenance & Other Services,Maintenance,,,,,,,,,,,,,TSheets web,,,
